wind_speed_kmh,pressure_hpa,rainfall_mm,storm_surge_m,cyclone_size_km,movement_speed_kmh,ocean_temperature_c,impact_score,impact_level
84,991,96,2.0,886,33,30.2,257.6,Moderate
160,924,53,2.7,629,34,24.6,351.21,High
99,917,660,6.1,455,32,25.0,450.95,Extreme
97,888,292,8.4,196,8,25.5,464.43,Extreme
118,1002,602,9.3,949,12,28.2,398.43,High
117,953,298,5.3,1061,33,24.7,377.2,High
50,960,350,6.2,102,10,26.1,319.32,High
212,997,621,9.5,601,41,24.4,409.44,High
233,894,501,5.4,955,22,25.6,529.24,Extreme
189,961,670,8.2,236,35,27.1,438.85,High
125,932,127,8.6,725,31,30.2,434.79,High
113,952,583,0.8,230,25,26.3,323.84,High
69,953,546,8.3,52,39,28.2,391.75,High
53,898,550,3.9,1070,45,28.0,466.72,Extreme
53,902,293,5.7,639,33,31.9,444.24,High
164,881,49,9.7,540,15,26.8,504.89,Extreme
43,991,437,1.4,282,34,32.5,258.36,Moderate
205,889,530,9.4,647,37,30.3,582.43,Extreme
146,973,503,2.8,1178,14,27.5,369.54,High
275,1003,540,7.6,329,9,26.5,383.32,High
242,956,368,9.4,1089,22,31.4,500.52,Extreme
112,926,621,6.0,1052,14,28.0,477.56,Extreme
163,938,360,5.7,1162,29,28.1,446.23,High
122,898,264,5.9,528,31,24.4,436.47,High
230,971,410,4.2,361,36,32.7,385.67,High
72,978,624,3.7,255,33,24.9,306.75,High
273,966,35,7.4,889,14,24.7,393.43,High
240,917,366,6.4,864,10,31.7,512.05,Extreme
258,986,409,9.6,1049,39,24.3,437.97,High
57,910,666,7.0,638,19,30.7,490.95,Extreme
151,875,668,7.2,255,33,25.5,537.48,Extreme
116,857,67,3.6,164,23,27.2,436.74,High
150,887,270,5.5,418,15,25.6,457.55,Extreme
196,947,654,7.0,1069,42,25.3,480.23,Extreme
158,915,490,2.9,69,34,32.1,423.07,High
213,989,181,1.2,757,42,26.7,284.18,Moderate
148,914,487,8.5,457,29,31.7,505.86,Extreme
67,910,410,5.9,655,23,24.2,423.93,High
252,951,301,0.6,150,43,30.7,347.62,High
253,923,255,6.3,771,19,29.7,479.66,Extreme
198,914,695,7.0,330,45,24.9,496.98,Extreme
200,860,336,8.0,118,42,27.3,544.77,Extreme
73,873,322,3.6,900,16,25.8,461.48,Extreme
241,988,394,5.5,608,15,26.3,364.18,High
251,973,322,7.6,743,12,28.2,420.57,High
59,886,251,8.7,863,40,27.3,493.79,Extreme
242,951,34,3.0,303,34,27.3,333.77,High
231,917,618,4.1,810,11,30.1,503.85,Extreme
160,856,654,8.9,1199,25,32.2,661.63,Extreme
96,866,670,8.3,668,31,25.1,565.15,Extreme
51,859,331,10.0,287,11,26.1,523.62,Extreme
177,884,417,4.8,1156,31,29.3,532.73,Extreme
226,889,444,6.7,1052,44,27.7,556.13,Extreme
111,858,399,2.6,960,20,31.7,520.88,Extreme
65,944,577,9.1,784,8,27.6,451.59,Extreme
88,881,485,1.4,484,45,29.4,442.06,High
45,862,361,2.8,307,41,25.8,434.28,High
252,991,232,6.1,527,26,31.0,365.05,High
241,1002,22,3.1,346,13,28.9,265.18,Moderate
244,894,132,6.8,102,13,24.1,454.93,Extreme
242,910,622,3.6,406,21,24.5,469.92,Extreme
229,957,558,1.6,180,35,28.0,365.78,High
132,981,627,1.5,1081,19,32.5,367.93,High
51,983,328,4.9,113,8,33.0,294.95,Moderate
256,952,456,7.0,1054,33,24.7,464.83,Extreme
60,932,642,1.9,308,22,29.6,373.85,High
189,990,352,4.1,1136,23,28.1,355.4,High
194,960,121,8.0,284,40,30.5,386.99,High
95,960,482,8.9,897,26,31.4,444.17,High
142,956,117,3.5,690,21,27.4,329.06,High
79,971,88,1.4,224,10,27.9,235.43,Moderate
230,945,153,5.8,1200,40,27.0,430.89,High
71,955,382,8.8,916,8,32.7,436.12,High
193,929,380,1.5,1089,18,25.4,407.38,High
163,907,130,3.8,1189,28,25.0,430.13,High
111,996,251,8.2,1198,44,29.5,365.67,High
204,992,46,6.3,597,6,25.6,308.6,High
219,929,367,3.8,421,14,29.1,423.43,High
142,867,165,7.5,112,10,30.7,500.86,Extreme
95,946,449,4.8,372,28,26.8,367.19,High
123,995,630,1.3,157,14,25.4,267.3,Moderate
198,862,103,3.1,918,36,29.5,501.97,Extreme
146,919,240,7.7,283,27,27.9,433.32,High
112,1001,518,5.5,681,7,26.0,319.63,High
193,864,27,2.4,482,13,30.9,463.21,Extreme
114,933,142,0.6,931,16,25.2,325.8,High
176,908,532,5.8,775,9,27.6,496.92,Extreme
229,860,466,0.7,209,25,29.2,495.23,Extreme
186,953,675,4.5,285,30,24.2,396.93,High
123,893,652,4.9,791,10,27.9,507.95,Extreme
67,912,466,6.1,1123,10,27.6,467.33,Extreme
119,936,246,3.7,394,9,28.6,359.92,High
69,985,542,2.3,765,27,30.5,316.1,High
249,887,261,1.5,574,17,25.6,449.23,High
79,869,201,9.5,1061,34,30.8,553.21,Extreme
234,998,479,7.0,711,45,26.8,382.62,High
152,867,500,4.7,670,22,29.3,534.77,Extreme
130,979,95,3.4,975,7,24.5,289.26,Moderate
252,923,98,6.6,234,44,29.3,434.85,High
138,968,614,5.8,134,33,32.2,390.85,High
186,898,349,6.2,1076,14,32.6,532.23,Extreme
155,876,371,9.8,222,37,29.8,546.94,Extreme
50,913,468,9.9,1123,38,29.5,513.62,Extreme
133,945,309,4.2,742,43,24.5,365.96,High
201,935,87,3.6,1192,29,26.6,399.58,High
225,1004,173,3.7,339,27,26.8,274.18,Moderate
207,950,152,6.2,223,24,29.0,379.55,High
204,934,150,6.9,1128,10,29.8,459.15,Extreme
148,980,390,0.7,682,16,32.6,315.98,High
127,974,216,2.7,331,14,24.7,271.08,Moderate
256,875,539,7.8,1128,7,30.0,625.21,Extreme
264,1008,154,6.2,365,15,25.6,305.3,High
217,1009,189,7.4,139,31,27.3,302.41,High
224,910,474,6.3,969,19,28.8,523.17,Extreme
119,970,218,4.0,952,34,30.9,346.12,High
239,947,534,5.5,381,17,31.2,450.77,Extreme
75,914,73,6.6,810,40,32.4,427.42,High
222,982,147,3.2,378,22,28.0,303.68,High
171,887,467,1.4,504,33,32.0,469.88,Extreme
278,856,444,1.0,1078,28,26.1,549.47,Extreme
60,945,249,0.8,252,26,31.1,295.23,Moderate
75,859,313,9.2,1017,13,30.8,575.08,Extreme
160,964,650,0.5,212,6,26.3,325.38,High
253,888,581,9.4,1130,32,25.0,609.26,Extreme
113,910,328,1.7,538,31,29.8,395.17,High
199,967,84,1.6,1073,43,28.8,329.38,High
201,981,608,2.8,344,23,27.9,348.9,High
197,940,266,5.9,433,10,28.7,411.17,High
132,867,558,5.7,1089,40,24.2,547.9,Extreme
263,970,64,6.5,814,21,30.7,397.17,High
131,867,373,2.8,262,42,30.6,473.89,Extreme
125,884,65,3.8,743,16,31.5,447.54,High
215,968,510,6.5,326,9,30.4,414.32,High
157,859,320,2.4,458,7,26.8,477.73,Extreme
119,981,427,9.9,1162,35,26.3,418.64,High
232,898,312,3.9,147,26,26.5,444.48,High
244,944,467,9.0,950,29,27.1,502.61,Extreme
87,977,529,4.0,1113,22,31.2,373.07,High
226,958,100,4.6,419,39,26.6,348.38,High
66,870,355,6.8,677,33,29.4,509.43,Extreme
149,892,474,3.8,136,27,29.5,456.32,Extreme
151,920,674,9.8,167,9,30.0,515.53,Extreme
143,943,545,8.1,377,6,25.3,433.54,High
195,962,55,1.7,533,28,27.3,300.12,High
185,858,639,2.0,971,28,27.3,551.29,Extreme
235,869,607,1.8,801,30,26.8,534.56,Extreme
111,913,136,0.7,431,36,28.7,344.25,High
273,993,140,3.0,583,33,25.9,302.75,High
196,923,522,2.4,327,9,28.1,418.63,High
270,963,109,8.2,704,27,30.4,429.32,High
180,988,317,9.0,372,45,25.6,361.62,High
132,980,249,1.7,461,13,26.1,267.98,Moderate
166,856,389,5.8,805,34,31.2,569.61,Extreme
181,883,646,8.9,184,24,27.6,557.98,Extreme
223,972,558,4.4,888,41,24.7,397.08,High
121,868,480,4.9,1109,27,25.2,528.38,Extreme
252,991,675,6.1,314,32,28.5,399.77,High
262,864,147,5.4,672,15,25.5,525.11,Extreme
279,907,374,9.5,1112,23,31.6,590.25,Extreme
104,900,670,9.6,612,13,29.6,547.62,Extreme
197,986,115,5.3,395,42,32.5,329.39,High
79,893,694,6.4,741,41,24.4,500.03,Extreme
261,857,103,0.9,592,18,30.9,493.38,Extreme
146,1008,674,0.8,1167,23,29.8,323.07,High
117,973,270,8.1,881,24,28.1,381.9,High
216,865,181,4.7,1041,34,25.8,523.77,Extreme
195,886,340,8.7,703,27,32.8,564.25,Extreme
73,944,547,5.8,703,20,28.2,409.26,High
108,965,273,1.8,153,23,32.5,296.88,Moderate
261,1007,448,2.9,377,25,32.4,330.75,High
224,930,214,7.7,1070,37,28.2,480.12,Extreme
265,928,529,0.7,855,37,28.1,441.01,High
101,905,617,3.9,153,23,28.5,436.74,High
265,970,312,5.6,270,32,25.2,368.83,High
107,943,432,4.0,870,8,29.1,398.07,High
89,942,586,3.2,841,37,28.1,397.77,High
180,921,658,7.0,293,13,32.8,505.6,Extreme
140,945,367,5.8,798,14,25.8,402.74,High
170,952,532,0.9,129,13,30.4,349.02,High
245,971,551,4.8,1105,13,27.0,429.89,High
196,931,186,4.2,662,42,27.0,398.58,High
252,980,565,5.2,663,35,31.3,420.37,High
134,934,132,9.8,680,45,24.2,423.57,High
